# area,perimeter,comp,mean_x,mean_y,var_x,var_y,assym_x,assym_y,conj_x,conj_y,conj_xy,conj_xy2,target
3.420845624385447370e-01,8.924914675767917638e-01,2.543788775596006121e-02,3.896374454056831249e-01,5.170004151895499778e-01,8.365692781338321393e-02,7.125502081608317551e-02,3.279996375567414968e-01,-2.242027042692485428e-01,9.452428858867490957e-01,9.781546421385455270e-01,9.354699626329404660e-01,9.502730669732681879e-01,1.000000000000000000e+01
3.062782521346057441e-01,8.161512027491408805e-01,2.702714681440443120e-02,3.495303974477473874e-01,5.083806120655445238e-01,7.941354878949016816e-02,6.303906787435942238e-02,5.511202933182171027e-01,-1.179470863996943814e-01,9.506395539521154125e-01,9.706461134798294310e-01,9.399803214168579446e-01,9.463758609380125142e-01,1.000000000000000000e+01
3.378847766199544744e-01,8.725868725868726195e-01,2.761570992246847878e-02,4.108354988120384021e-01,5.171899162081490253e-01,8.206932164598322588e-02,6.500348306515903174e-02,2.558766399616968501e-01,-1.783269570869696341e-01,9.471818504076569001e-01,9.719957461892946293e-01,9.413328606876993909e-01,9.432825239276851903e-01,1.000000000000000000e+01
3.083445854712395517e-01,8.061594202898550998e-01,2.882969322055296130e-02,4.108219668410670877e-01,5.221482044804487410e-01,7.862046020187454798e-02,6.656126695949877992e-02,3.101641863744614147e-01,-1.447361150388350171e-01,9.516552811350499352e-01,9.679453494482396225e-01,9.444736381152566418e-01,9.483272026624627316e-01,1.000000000000000000e+01
3.200316185874662600e-01,7.463157894736842657e-01,3.584082151503637653e-02,3.939806278899261605e-01,5.754206717319160225e-01,5.450898480536326557e-02,7.607162835131353606e-02,6.758687651582810929e-01,-2.540521722645966429e-01,9.897038825521050631e-01,9.905780812033413429e-01,9.854855271556628438e-01,9.874004384869424777e-01,1.000000000000000000e+01
2.501356668023334562e-01,7.869565217391304435e-01,2.501280316365326120e-02,3.726345067362016317e-01,4.835490987355394177e-01,8.820881372855103597e-02,5.354296465409920380e-02,3.246446765170057369e-01,2.066299846269158691e-01,9.572881355932203462e-01,9.679999999999999716e-01,9.442711864406779787e-01,9.430508474576271283e-01,1.000000000000000000e+01
4.537857518862958295e-01,8.268456375838926231e-01,4.089209289087535754e-02,4.473406393641490286e-01,5.246794685668643154e-01,6.599599387800705874e-02,7.136861613656375614e-02,2.872359116980744420e-01,-1.044213476819149111e-01,9.888346464304702543e-01,9.912675012486507065e-01,9.851611967712310403e-01,9.879001723943480195e-01,1.000000000000000000e+01
3.350713257232769693e-01,8.085901027077497805e-01,3.009876579425992821e-02,3.239330893916052556e-01,5.331552418295287810e-01,6.753891952081243766e-02,7.098106553252987727e-02,7.615269628517492562e-01,-1.084409792690891050e-01,9.877064159218527095e-01,9.930336356890498983e-01,9.874849099024265442e-01,9.857903888538170900e-01,1.000000000000000000e+01
3.316594930655188955e-01,8.108108108108108558e-01,3.145124716553288069e-02,3.684547570061136867e-01,4.841702362271512183e-01,7.963033312665891705e-02,7.105305242057446957e-02,4.106287945634017333e-01,-3.260373029481902166e-03,9.549387166546503547e-01,9.673756308579668506e-01,9.443042537851478180e-01,9.405191059841384593e-01,1.000000000000000000e+01
2.697660966704023555e-01,8.698224852071005930e-01,2.158244250080984875e-02,3.742569064555377745e-01,5.198378652846111780e-01,7.266814547245670219e-02,7.552275490744898845e-02,5.223780974047205206e-01,-1.234061473063511605e-01,9.517555615116590761e-01,9.685071026534440852e-01,9.422406861431251723e-01,9.447869203966764440e-01,1.000000000000000000e+01
3.363914373088685017e-01,8.800738007380073391e-01,2.610656224041770640e-02,4.397244617428103242e-01,4.988049216444278011e-01,7.611115030439720430e-02,7.176621519840967189e-02,3.870933182316204646e-01,-6.023063598879917907e-02,9.498316498316498047e-01,9.683501683501684054e-01,9.395622895622895987e-01,9.452861952861952854e-01,1.000000000000000000e+01
3.623599701269604179e-01,8.755364806866953176e-01,2.914744329104190790e-02,4.009616692946157968e-01,5.219877607964994448e-01,8.663538633336392847e-02,6.735532382079659208e-02,2.767697648915209419e-01,-1.605553830817302852e-01,9.495053586150040692e-01,9.647568013190437330e-01,9.363149216817806542e-01,9.429101401483923617e-01,1.000000000000000000e+01
3.393246187363834210e-01,8.617021276595744350e-01,2.637639926163017068e-02,4.561907909231108227e-01,4.928749777064383997e-01,7.864667641887126970e-02,6.588419630688524542e-02,2.412931657300245725e-01,1.015428194234196078e-02,9.487961476725521592e-01,9.720706260032102586e-01,9.470304975922952950e-01,9.351524879614767638e-01,1.000000000000000000e+01
3.975760889374886364e-01,7.725118483412322101e-01,4.105348338288983268e-02,4.109409772796167037e-01,5.064040059514328673e-01,6.097359985862237791e-02,7.605896643302795246e-02,4.651439728518153016e-01,-1.314005556347973835e-01,9.516387806555122175e-01,9.708915883566353600e-01,9.484299793719916938e-01,9.408663763465505703e-01,1.000000000000000000e+01
